"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.819466292E0,-1.113684082E-1,8.247848511E-2,9.959089966E0,9.960054145E0
2.829383292E0,-1.113684082E-1,8.592132568E-2,9.963730316E0,9.964723138E0
2.839300292E0,-1.095721436E-1,8.726852417E-2,9.971963196E0,9.972946998E0
2.849217292E0,-1.067280579E-1,9.580078125E-2,9.953850861E0,9.954884009E0
2.859134292E0,-1.191522217E-1,7.813751221E-2,9.968969421E0,9.969987665E0
2.869051292E0,-1.215472412E-1,7.888595581E-2,9.964329071E0,9.965382610E0
2.878968292E0,-1.190025330E-1,8.008346558E-2,9.962832184E0,9.963864716E0
2.888884292E0,-1.107696533E-1,8.652008057E-2,9.962832184E0,9.963823602E0
2.898801292E0,-1.160087585E-1,9.220825195E-2,9.960586853E0,9.961689156E0
2.908718292E0,-1.083746338E-1,8.113128662E-2,9.967622223E0,9.968541524E0
2.918635292E0,-1.149609375E-1,7.514373779E-2,9.970017242E0,9.970963164E0
2.928552292E0,-1.215472412E-1,7.963439941E-2,9.961035919E0,9.962095761E0
2.938469292E0,-1.104702759E-1,8.128097534E-2,9.965526581E0,9.966470304E0
2.948386292E0,-1.124162292E-1,8.442443848E-2,9.969268799E0,9.970260041E0
2.958303292E0,-1.128652954E-1,8.951385498E-2,9.973460083E0,9.974500355E0
2.968220292E0,-1.140628052E-1,8.173004150E-2,9.961784363E0,9.962772597E0
2.978137292E0,-1.139131165E-1,8.262817383E-2,9.955048370E0,9.956042972E0
2.988054292E0,-1.149609375E-1,8.472381592E-2,9.961335297E0,9.962358909E0
2.997971292E0,-1.227447510E-1,8.232879639E-2,9.959389343E0,9.960485952E0
3.007888292E0,-1.154100037E-1,9.265731812E-2,9.966873779E0,9.967972601E0
3.017805292E0,-1.080752563E-1,9.145980835E-2,9.963281250E0,9.964287151E0
3.027722292E0,-1.109193420E-1,8.876541138E-2,9.967173157E0,9.968185549E0
3.037639292E0,-1.080752563E-1,8.382568359E-2,9.970615997E0,9.971554060E0
3.047556292E0,-1.151106262E-1,7.738906860E-2,9.958940277E0,9.959906173E0
3.057473292E0,-1.178050232E-1,7.259902954E-2,9.966724091E0,9.967684673E0
3.067390292E0,-1.172062683E-1,8.352630615E-2,9.962832184E0,9.963871691E0
3.077307292E0,-1.124162292E-1,7.738906860E-2,9.964329071E0,9.965263685E0
3.087224292E0,-1.049317932E-1,7.514373779E-2,9.969268799E0,9.970104194E0
